Date,Sample.ID,Chamber.ID,Parental.Treatment,Reef.Zone,Target.T,TPC.Temp,Type,Salinity,Run,Trial,Species,Chamber.Vol.L,Org.Number,Exclude.TPC,Total.Vol
20191029,1,A1,NA,NA,31,NA,Sample,34,1,1,A.pulchra,0.00008,4,,
20191029,7,B1,NA,NA,31,NA,Sample,34,1,1,A.pulchra,0.00008,4,,
20191029,13,C1,NA,NA,31,NA,Sample,34,1,1,A.pulchra,0.00008,4,,
20191029,19,D1,NA,NA,31,NA,Sample,34,1,1,A.pulchra,0.00008,4,,
20191029,2,A2,NA,NA,31,NA,Sample,34,1,1,A.pulchra,0.00008,4,,
20191029,8,B2,NA,NA,31,NA,Sample,34,1,1,A.pulchra,0.00008,4,,
20191029,14,C2,NA,NA,31,NA,Sample,34,1,1,A.pulchra,0.00008,4,,
20191029,20,D2,NA,NA,31,NA,Sample,34,1,1,A.pulchra,0.00008,4,,
20191029,3,A3,NA,NA,31,NA,Sample,34,1,1,A.pulchra,0.00008,4,,
20191029,9,B3,NA,NA,31,NA,Sample,34,1,1,A.pulchra,0.00008,4,,
20191029,15,C3,NA,NA,31,NA,Sample,34,1,1,A.pulchra,0.00008,4,,
20191029,21,D3,NA,NA,31,NA,Blank,34,1,1,A.pulchra,0.00008,0,,
20191029,4,A4,NA,NA,31,NA,Sample,34,1,1,A.pulchra,0.00008,4,,
20191029,10,B4,NA,NA,31,NA,Sample,34,1,1,A.pulchra,0.00008,4,,
20191029,16,C4,NA,NA,31,NA,Sample,34,1,1,A.pulchra,0.00008,4,,
20191029,22,D4,NA,NA,31,NA,Blank,34,1,1,A.pulchra,0.00008,0,,
20191029,5,A5,NA,NA,31,NA,Sample,34,1,1,A.pulchra,0.00008,4,,
20191029,11,B5,NA,NA,31,NA,Sample,34,1,1,A.pulchra,0.00008,4,,
20191029,17,C5,NA,NA,31,NA,Sample,34,1,1,A.pulchra,0.00008,4,,
20191029,23,D5,NA,NA,31,NA,Blank,34,1,1,A.pulchra,0.00008,0,,
20191029,6,A6,NA,NA,31,NA,Sample,34,1,1,A.pulchra,0.00008,4,,
20191029,12,B6,NA,NA,31,NA,Sample,34,1,1,A.pulchra,0.00008,4,,
20191029,18,C6,NA,NA,31,NA,Sample,34,1,1,A.pulchra,0.00008,4,,
20191029,24,D6,NA,NA,31,NA,Blank,34,1,1,A.pulchra,0.00008,4,,
20191029,25,A1,NA,NA,28,NA,Sample,34,2,2,A.pulchra,0.00008,4,,
20191029,31,B1,NA,NA,28,NA,Sample,34,2,2,A.pulchra,0.00008,4,,
20191029,37,C1,NA,NA,28,NA,Sample,34,2,2,A.pulchra,0.00008,4,,
20191029,43,D1,NA,NA,28,NA,Sample,34,2,2,A.pulchra,0.00008,4,,
20191029,26,A2,NA,NA,28,NA,Sample,34,2,2,A.pulchra,0.00008,4,,
20191029,32,B2,NA,NA,28,NA,Sample,34,2,2,A.pulchra,0.00008,4,,
20191029,38,C2,NA,NA,28,NA,Sample,34,2,2,A.pulchra,0.00008,4,,
20191029,44,D2,NA,NA,28,NA,Sample,34,2,2,A.pulchra,0.00008,4,,
20191029,27,A3,NA,NA,28,NA,Sample,34,2,2,A.pulchra,0.00008,4,,
20191029,33,B3,NA,NA,28,NA,Sample,34,2,2,A.pulchra,0.00008,4,,
20191029,39,C3,NA,NA,28,NA,Sample,34,2,2,A.pulchra,0.00008,4,,
20191029,45,D3,NA,NA,28,NA,Sample,34,2,2,A.pulchra,0.00008,4,,
20191029,28,A4,NA,NA,28,NA,Sample,34,2,2,A.pulchra,0.00008,4,,
20191029,34,B4,NA,NA,28,NA,Sample,34,2,2,A.pulchra,0.00008,4,,
20191029,40,C4,NA,NA,28,NA,Sample,34,2,2,A.pulchra,0.00008,4,,
20191029,46,D4,NA,NA,28,NA,Sample,34,2,2,A.pulchra,0.00008,4,,
20191029,29,A5,NA,NA,28,NA,Sample,34,2,2,A.pulchra,0.00008,4,,
20191029,35,B5,NA,NA,28,NA,Sample,34,2,2,A.pulchra,0.00008,4,,
20191029,41,C5,NA,NA,28,NA,Sample,34,2,2,A.pulchra,0.00008,4,,
20191029,47,D5,NA,NA,28,NA,Sample,34,2,2,A.pulchra,0.00008,4,,
20191029,30,A6,NA,NA,28,NA,Blank,34,2,2,A.pulchra,0.00008,0,,
20191029,36,B6,NA,NA,28,NA,Blank,34,2,2,A.pulchra,0.00008,0,,
20191029,42,C6,NA,NA,28,NA,Blank,34,2,2,A.pulchra,0.00008,0,,
20191029,48,D6,NA,NA,28,NA,Blank,34,2,2,A.pulchra,0.00008,0,,
